loadable,snapshot_date,source_commit,profiles,source,status,baseline_coverage,limited,evidence,coverage_scope,sanitizer_evidence,fuzz_evidence,companion_loadables,busybox_applet,busybox_availability,external_program,external_availability,comparison_scope,metric_kind,work_unit,benchmark_cases,selected_case,fixture,builtin_command,external_command,passes,timed_samples,bashos_result,bashos_ms,busybox_ms,external_ms,bashos_over_external,priority,next_work,notes
ss,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/ss.c,Build/help,Build/help,False,,,,,,,n/a,ss,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
ssh,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/ssh.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,,,n/a,ssh,available,Same-name candidate; only measured arguments are compared.,compared,"2840142 B known_hosts scanned, 20001 salted HMAC-SHA1 host-hash comparisons, the one matching entry emitted",ssh-known-hosts-list,ssh-known-hosts-list,empty,ssh known-hosts list needle.fixture.test,ssh-keygen -q -F needle.fixture.test -f knownhosts,3,7,ok,85.527,,157.368,0.5435,P4,Extend sizes/options; no selected-case performance priority.,Host-key fixtures and loopback SSH interoperability pass; no transfer throughput measurements.
sshd,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/sshd.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,,,n/a,sshd,available,Same-name candidate; only measured arguments are compared.,self-timed,"512 session files opened and parsed (2560 key=value lines), 512 status lines printed (36384 B)",sshd-sessions,sshd-sessions,empty,sshd sessions,sshd sessions,22,7,ok,48.869,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",Loopback interoperability and malformed setup cases pass; no concurrent-session measurements.
stat,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,loadables/stat.c,Parity,Parity,False,tests/stat-parity.sh;tests/host-smoke.sh;tests/rootfs-smoke.sh,"Dedicated comparison suite; only the tested options and fixtures are covered.; Basic file, pipe or archive behavior with an empty PATH.; Static binary in an isolated root filesystem; fixture paths only.",,,,stat,available,stat,available,Same-name candidate; only measured arguments are compared.,compared,,stat,stat,empty,stat -c %s text,stat -c %s text,111,7,ok,3.734,84.927,88.969,0.042,P4,Extend sizes/options; no selected-case performance priority.,
strace,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,full,loadables/strace.c,Contract,Contract,False,tests/large-smoke.py,"Private images, files, loopback services or tool-specific fixtures.",,,,,n/a,strace,missing,Same-name candidate; only measured arguments are compared.,self-timed,"fork + PTRACE_TRACEME exec of /bin/true and ~31 traced syscalls per pass, i.e. ~62 ptrace stop/continue round trips decoded and accumulated into a 17-row summary table (666 bytes)",strace-summary,strace-summary,empty,strace -c -o strace.out -- /bin/true,strace -c -o strace.out -- /bin/true,20,7,ok,21.439,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
strftime,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/strftime.c,Bench checked,Build/help,False,,,,,,date,available,date / Bash printf,adapter,"Match format, timezone and timestamp.",compared,,strftime,strftime,empty,strftime %Y-%m-%d 0,date -u -d @0 +%Y-%m-%d,127,7,ok,3.884,95.763,77.586,0.0501,P4,Extend sizes/options; no selected-case performance priority.,
strings,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/strings.c,Parity,Parity,False,tests/text-tools-parity.sh,Small host-comparison fixtures; this is not complete CLI conformance.,,,,strings,available,strings,available,Same-name candidate; only measured arguments are compared.,compared,,strings,strings,bytes,strings -n 4,strings -n 4,80,7,ok,31.086,89.794,135.007,0.2303,P4,Extend sizes/options; no selected-case performance priority.,Repeated redirected stdin is fixed; tests/strings-check.sh matches GNU on three fresh redirections.
strptime,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/strptime.c,Bench checked,Build/help,False,,,,,,,n/a,Python datetime.strptime,adapter,Timestamp parsing API.,compared,,strptime,strptime,empty,strptime '1970-01-01 00:00:00' '%Y-%m-%d %H:%M:%S',date -u -d '1970-01-01 00:00:00' +%s,99,7,ok,6.371,100.038,81.646,0.078,P4,Extend sizes/options; no selected-case performance priority.,
su,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/su.c,Negative checks,Negative checks,False,tests/final-smoke.py,Invalid options are rejected before authentication or credential changes.,tests/final-sanitize.sh,,,su,available,su,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,Add credential-transition and policy fixtures before benchmarking authentication.,Current integration test rejects an invalid option before credential transition.
sudo,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/sudo.c,Negative checks,Negative checks,False,tests/final-smoke.py,Invalid options are rejected before authentication or credential changes.,tests/final-sanitize.sh,,doas,,n/a,sudo,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,Add credential-transition and policy fixtures before benchmarking authentication.,Current integration test rejects an invalid option before credential transition.
sv,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/sv.c,Contract,Contract,False,tests/large-smoke.py,"Private images, files, loopback services or tool-specific fixtures.",,,,,n/a,runit sv,adapter,Supervisor API/subset; compare private service lifecycle operations.,compared,2800000-byte / 40000-line service log read line by line with fgets into a 200-slot strdup ring (sv.c:2982-3014); last 200 lines / 14000 bytes out,sv-log,sv-log,empty,sv log fixture -n 200,tail -n 200 svlog/fixture,29,7,ok,70.04,170.369,20.87,3.356,P3,"Confirm sv-log (3.36× external time), then profile.",
swapoff,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/swapoff.c,Build/help,Build/help,False,,,,,,swapoff,available,swapoff,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,"Add behavioral fixtures, then timing.",
swapon,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/swapon.c,Smoke,Smoke,False,tests/util-linux-smoke.sh,Selected queries or temporary-file operations; device mutation is not validated.,,,,swapon,available,swapon,available,Same-name candidate; only measured arguments are compared.,compared,/proc/swaps read and echoed through a 1024-byte fgets loop: one header line plus one line per swap area,swapon,swapon,empty,swapon -s,swapon -s,133,7,ok,4.965,,158.53,0.0313,P4,Extend sizes/options; no selected-case performance priority.,
sync,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/sync.c,Bench checked,Build/help,False,,,,,,sync,available,sync,available,Same-name candidate; only measured arguments are compared.,compared,,sync,sync,empty,sync,sync,20,7,ok,6.06,26.317,19.704,0.3076,P4,Extend sizes/options; no selected-case performance priority.,
sysctl,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/sysctl.c,Contract,Contract,False,tests/system-smoke.sh,"Exit statuses, isolated records or temporary attributes.",,,,sysctl,available,sysctl,available,Same-name candidate; only measured arguments are compared.,compared,,sysctl,sysctl,empty,sysctl -n kernel.osrelease,sysctl -n kernel.osrelease,132,7,ok,5.243,104.84,82.706,0.0634,P4,Extend sizes/options; no selected-case performance priority.,
tac,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/tac.c,Parity,Parity,True,tests/tac-parity.py;tests/text-tools-parity.sh;tests/input-lifetime.py,"Follow-up: literal and selected regex separators, binary data, files, repeated stdin, terminal ordering and error recovery; see docs/tac.md.; Small host-comparison fixtures; this is not complete CLI conformance.; Mixed-reader integration across native and RISC-V musl: fresh redirects, file operands, empty input and descriptor ownership; shared GNU byte cases only.",tests/tac-sanitize.sh,,,tac,available,tac,available,Same-name candidate; only measured arguments are compared.,compared,,tac,tac,text,tac,tac,63,7,ok,12.658,297.716,62.572,0.2023,P3,Decide bounded-memory input and GNU regex scope; see the tac follow-up.,Descriptor input and buffered literal-separator processing are validated. Whole-file memory use and the POSIX ERE regex subset remain limits; dedicated size and separator measurements are separate.
tail,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/tail.c,Parity,Parity,False,tests/wc-tail-parity.sh,Dedicated comparison suite; only the tested options and fixtures are covered.,,,,tail,available,tail,available,Same-name candidate; only measured arguments are compared.,compared,,tail,tail,text,tail -n 100,tail -n 100,80,7,ok,5.086,130.316,48.358,0.1052,P4,Extend sizes/options; no selected-case performance priority.,Repeated small-input redirections and write-error stop are covered by tests/tail-check.sh.
taskset,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/taskset.c,Query parity,Query parity,False,tests/util-linux-smoke.sh,Host output comparison for one query; no complete option or mutation coverage.; Selected queries or temporary-file operations; device mutation is not validated.,,,,taskset,available,taskset,available,Same-name candidate; only measured arguments are compared.,compared,,taskset,taskset,empty,taskset -p 1,taskset -p 1,112,7,ok,3.885,81.463,68.646,0.0566,P4,Extend sizes/options; no selected-case performance priority.,
tee,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/tee.c,Bench checked,Build/help,False,,,,,,tee,available,tee,available,Same-name candidate; only measured arguments are compared.,compared,,tee,tee,text,tee,tee,80,7,ok,9.377,109.351,71.588,0.131,P4,Extend sizes/options; no selected-case performance priority.,Closed-stdin and all-outputs-failed stop are covered by tests/tee-check.sh. Stock examples/loadables/tee.c is still the source.
termpixel,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/termpixel.c,Contract,Contract,False,tests/terminal-smoke.py,"Decoder, state, selftest, private PTY or file fixtures; not all live UI interactions.",tests/terminal-sanitize.sh,,,,n/a,,n/a,Terminal pixel canvas API; measure rendering and terminal bytes.,self-timed,"one 400x200 RGB frame drawn (clear, outline rect, filled circle, diagonal line, 6-glyph 3x5 text over 80,000 pixels) and run-length encoded to 400x100 truecolour upper-half-block cells, 55,683 bytes out. Frame index 0 is hard-coded, so no clock or RNG is involved",termpixel,termpixel,empty,termpixel render-demo -w 400 -H 200,termpixel render-demo -w 400 -H 200,40,7,ok,14.138,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
termpixel_pong,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,full,loadables/termpixel_pong.c,Contract,Contract,False,tests/terminal-smoke.py,"Decoder, state, selftest, private PTY or file fixtures; not all live UI interactions.",tests/terminal-sanitize.sh,,termpixel,,n/a,,n/a,Interactive graphics demo; frame time and terminal traffic are the useful metrics.,self-timed,"seeded game state built and one 80x80 frame rendered (6,400 pixels: two paddles, ball, 3x5 score and hint text) then encoded to 80x40 truecolour half-block cells, 7,391 bytes out. --dump-frame returns before the input and pacing loop, so no wall clock enters it",termpixel_pong,termpixel_pong,empty,termpixel_pong --dump-frame,termpixel_pong --dump-frame,128,7,ok,9.831,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
timeout,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/timeout.c,Contract,Contract,False,tests/system-smoke.sh,"Exit statuses, isolated records or temporary attributes.",,,,timeout,available,timeout,available,Same-name candidate; only measured arguments are compared.,compared,,timeout,timeout,empty,timeout 1 /bin/true,timeout 1 /bin/true,71,7,ok,42.515,96.238,77.952,0.5454,P4,Extend sizes/options; no selected-case performance priority.,
tinfo,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/tinfo.c,Bench checked,Build/help,False,,,,,,,n/a,infocmp / tput,adapter,Terminfo query API.,compared,,tinfo,tinfo,empty,tinfo getnum cols,tput cols,149,7,ok,4.743,,115.249,0.0412,P4,Extend sizes/options; no selected-case performance priority.,
tiv,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/tiv.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,tests/fuzz-image.c,,,n/a,chafa,missing,Image-to-terminal encoding; normalize dimensions and output mode.,self-timed,"the same 256x256 PNG decoded through stb_image, area-average resized to 100x100 pixels and rendered on the half-block path as 5,000 cells of 24-bit fg/bg SGR plus U+2580 glyphs, 183,334 bytes out. Explicit -w/-H keep tiv_term_size() and the fit-to-height branch out of the measurement",tiv;tiv-oct256,tiv,empty,tiv -w 100 -H 50 -m rgb image.png,tiv -w 100 -H 50 -m rgb image.png,22,7,ok,64.86,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
toml,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;desktop;full,loadables/toml.c,Contract,Contract,False,tests/helper-smoke.py,"Helper APIs, independent formats, temporary files and controlled terminal fixtures.",tests/helper-sanitize.sh,tests/fuzz-toml.c,,,n/a,Python tomllib,adapter,Parser/query API; match queries and decoded values.,self-timed,"186,758 bytes of TOML parsed (605 tables, mixed string/int/float/bool/array/datetime/sub-table) and re-emitted as 186,157 bytes of canonical TOML",toml-emit,toml-emit,empty,toml emit config.toml,toml emit config.toml,8,7,ok,75.296,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
top,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/top.c,Contract,Contract,False,tests/helper-smoke.py,"Helper APIs, independent formats, temporary files and controlled terminal fixtures.",tests/helper-sanitize.sh,,,top,available,top,available,Same-name candidate; only measured arguments are compared.,none,,,,,,,,,unmeasured,,,,,P3,Add a matched workload and timing.,
totp,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,full,loadables/totp.c,Contract,Contract,False,tests/misc-smoke.py,Independent expected values or private file/socket fixtures.,,,,,n/a,oathtool,missing,Fixed key/time/hash; never use account secrets in benchmarks.,self-timed,"one RFC 6238 code at a fixed timestamp: RFC 4648 base32 decode of a 32-character secret, counter framing, one HMAC-SHA-512 that totp.c delegates by fork and execl of /proc/self/exe into the crypto builtin, then HOTP dynamic truncation to 8 digits; the fork and exec dominate",totp-generate,totp-generate,empty,totp generate -k GEZDGNBVGY3TQOJQGEZDGNBVGY3TQOJQ -t 1234567890 -d 8 -a sha512,totp generate -k GEZDGNBVGY3TQOJQGEZDGNBVGY3TQOJQ -t 1234567890 -d 8 -a sha512,28,7,ok,69.106,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
touch,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/touch.c,Bench checked,Build/help,False,,,,,,touch,available,touch,available,Same-name candidate; only measured arguments are compared.,compared,,touch,touch,empty,touch touched,touch touched,141,7,ok,3.79,106.752,85.989,0.0441,P4,Extend sizes/options; no selected-case performance priority.,
tput,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/tput.c,Bench checked,Build/help,False,,,,,,,n/a,tput,available,Same-name candidate; only measured arguments are compared.,compared,,tput;tput-lines,tput,empty,tput cols,tput cols,87,7,ok,3.828,,72.676,0.0527,P4,Extend sizes/options; no selected-case performance priority.,
tr,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/tr.c,Bench checked,Build/help,False,,,,,,tr,available,tr,available,Same-name candidate; only measured arguments are compared.,compared,,tr,tr,text,tr a-z A-Z,tr a-z A-Z,65,7,ok,51.589,96.332,56.872,0.9071,P4,Extend sizes/options; no selected-case performance priority.,
truncate,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/truncate.c,Bench checked,Build/help,False,,,,,,truncate,available,truncate,available,Same-name candidate; only measured arguments are compared.,compared,,truncate,truncate,empty,truncate -s 4096 truncout,truncate -s 4096 truncout,113,7,ok,4.111,79.522,70.703,0.0581,P4,Extend sizes/options; no selected-case performance priority.,Size arithmetic overflow is rejected and existing bytes are preserved; tests/truncate-check.sh matches GNU.
ts,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/ts.c,Contract,Contract,False,tests/final-smoke.py,"Independent crypto/format fixtures, parser cases, local services or selftests; scope varies by command.",tests/final-sanitize.sh,,,,n/a,tree-sitter,missing,Parser/query API with pinned grammars.,self-timed,"39,109 bytes of JSON (10,000-element array) parsed by the vendored tree-sitter runtime and printed as a 90,019-byte root-node S-expression",ts-parse;ts-query,ts-parse,array,ts parse -L json,ts parse -L json,5,7,ok,92.345,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.","Capture precedence takes the last matching pattern rather than the most specific: in span mode a JSON object key yields both string.special.key and string, and the renderer paints it with the later, less specific rule."
tty,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/tty.c,Bench checked,Build/help,False,,,,,,tty,available,tty,available,Same-name candidate; only measured arguments are compared.,compared,"1 ttyname(3) on a pty-master stdin per pass (readlink /proc/self/fd/0 + stat + isatty), 10 bytes printed",tty,tty,ptmx,tty,tty,104,7,ok,7.886,108.412,89.124,0.0885,P4,Extend sizes/options; no selected-case performance priority.,
tui,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/tui.c,Contract,Contract,False,tests/helper-smoke.py,"Helper APIs, independent formats, temporary files and controlled terminal fixtures.",tests/helper-sanitize.sh,,,,n/a,,n/a,Persistent cell UI API; measure changed cells and terminal traffic.,none,,,,,,,,,unmeasured,,,,,P3,"Define an API workload and metric, then measure.",
tz,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/tz.c,Contract,Contract,False,tests/misc-smoke.py,Independent expected values or private file/socket fixtures.,,,,date,available,date / Python zoneinfo,adapter,Timezone conversion API.,compared,,tz,tz,empty,tz convert 0 -z UTC,date -u -d @0 '+%Y-%m-%d %H:%M:%S UTC +0000',127,7,ok,3.934,97.291,76.61,0.0514,P4,Extend sizes/options; no selected-case performance priority.,
uclampset,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;full,loadables/uclampset.c,Smoke,Smoke,True,tests/util-linux-smoke.sh,Selected queries or temporary-file operations; device mutation is not validated.,,,,,n/a,uclampset,available,Same-name candidate; only measured arguments are compared.,compared,,uclampset,uclampset,empty,uclampset -p 1,uclampset -p 1,136,7,ok,4.706,,83.286,0.0565,P3,Decide whether to implement the missing setter surface.,Query subset; setting PID/system clamps and command mode are refused.
uname,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/uname.c,Contract,Contract,False,tests/rootfs-smoke.sh,Static binary in an isolated root filesystem; fixture paths only.,,,,uname,available,uname,available,Same-name candidate; only measured arguments are compared.,compared,,uname;uname-s,uname-s,empty,uname -s,uname -s,120,7,ok,4.157,84.628,71.632,0.058,P4,Extend sizes/options; no selected-case performance priority.,
undo,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,desktop;full,loadables/undo.c,Contract,Contract,False,tests/terminal-smoke.py,"Decoder, state, selftest, private PTY or file fixtures; not all live UI interactions.",tests/terminal-sanitize.sh,,buf,,n/a,,n/a,Buffer undo API; benchmark representative editing histories.,self-timed,"2,000 grouped inverse line-inserts applied to a 423,000-byte / 8,062-line buffer per pass, plus the 2,000 line-deletes the reset's redo re-applies",undo-composite-group,undo-composite-group,empty,undo undo 0,undo undo 0,4,7,ok,93.49,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
unexpand,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/unexpand.c,Parity,Parity,False,tests/text-tools-parity.sh,Small host-comparison fixtures; this is not complete CLI conformance.,,,,unexpand,available,unexpand,available,Same-name candidate; only measured arguments are compared.,compared,,unexpand,unexpand,spaces,unexpand -a,unexpand -a,9,7,ok,77.234,98.328,38.787,1.9912,P3,"Confirm unexpand (1.99× external time), then profile.",Write-failure stop and GNU comparison are covered by tests/unexpand-check.sh.
uniq,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,core;device;server;desktop;full,loadables/uniq.c,Parity,Parity,False,tests/paste-uniq-parity.py;tests/rootfs-smoke.sh,Dedicated comparison suite; only the tested options and fixtures are covered.; Static binary in an isolated root filesystem; fixture paths only.,tests/paste-uniq-sanitize.sh,,,uniq,available,uniq,available,Same-name candidate; only measured arguments are compared.,compared,,uniq,uniq,duplicates,uniq,uniq,19,7,ok,75.157,430.537,88.138,0.8527,P4,Extend sizes/options; no selected-case performance priority.,
unlink,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,pure;core;device;server;desktop;full,Bash examples/loadables/unlink.c,Bench checked,Build/help,False,,,,,,unlink,available,unlink,available,Same-name candidate; only measured arguments are compared.,compared,1 unlink(2) per pass on a freshly created empty directory entry,unlink,unlink,empty,unlink victim,unlink victim,120,7,ok,6.687,115.302,98.092,0.0682,P4,Extend sizes/options; no selected-case performance priority.,
uptime,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,device;server;desktop;full,loadables/uptime.c,Smoke,Smoke,False,tests/system-smoke.sh,Selected read/query paths; no full subsystem integration claim.,,,,uptime,available,uptime,available,Same-name candidate; only measured arguments are compared.,compared,,uptime,uptime,empty,uptime -s,uptime -s,108,7,ok,8.099,,123.802,0.0654,P4,Extend sizes/options; no selected-case performance priority.,
userdb,2026-09-12,63cb23df1c3012dde4b07657cc27e4f1e5015b2f,server;full,loadables/userdb.c,Contract,Contract,False,tests/system-smoke.sh,"Exit statuses, isolated records or temporary attributes.",,,,,n/a,getent,available,Account lookup API; use controlled account databases.,self-timed,"318,948-byte / 5,001-record passwd database scanned to its last record and split into 7 colon fields per line, then the uid:gid:gecos:home:shell record bound to a shell variable",userdb-lookup,userdb-lookup,empty,userdb lookup benchuser -V REC,userdb lookup benchuser -V REC,58,7,ok,43.921,,,,P4,"Self-timed baseline: no external program or applet implements this, so compare a change against this figure rather than a ratio.",
